gene_names,ApoE.2,ApoE.3,ApoE.4,ApoE.5,ApoE.6,WT.1,WT.2,WT.3,WT.5,WT.6,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Mefv,70.13818377,102.514273,167.9143884,6.073908402,172.1852553,8.788970825,4.075029086,14.30278756,3.234557663,9.263965986,58.83053204,3.716920746,0.65972387,5.634055268,1.76E-08,5.26E-06
Bcl2a1b,65.91299197,103.454771,148.214935,8.503471762,266.0216642,7.812418511,12.22508726,5.959494815,22.64190364,9.263965986,59.73810502,3.35498682,0.596393766,5.625455883,1.85E-08,5.43E-06
Scn1b,1451.7759,1454.950279,1878.014556,1471.100615,1907.703304,1069.324784,1080.901465,1094.163248,1177.378989,1055.062793,1366.793147,0.57625587,0.103159919,5.586044224,2.32E-08,6.71E-06
Rbmx,1855.704236,1825.506458,1753.251351,2069.987983,1908.614337,2665.011265,2471.505141,2427.898188,2507.860375,2550.678635,2170.974838,-0.424076826,0.076215673,-5.564168228,2.63E-08,7.48E-06
Adamts4,264.4970063,253.9344378,268.2877937,263.6076246,289.7085247,160.1545795,124.2883871,169.2496527,135.8514219,206.8952403,220.467934,0.751290208,0.135155447,5.55871202,2.72E-08,7.52E-06
Serpina3h,152.1069046,17.86946044,254.2167556,14.57738016,23.68686051,7.812418511,7.131300901,1.191898963,6.469115326,3.087988662,37.74836602,4.161167736,0.748711527,5.557771703,2.73E-08,7.52E-06
C5ar2,20.28092061,49.84638964,33.77049152,32.79910537,56.48405199,124.0221439,85.57561081,123.9574921,114.2877041,115.28491,64.80833816,-1.542664675,0.277927356,-5.550603935,2.85E-08,7.71E-06
Csf2rb,2743.83955,1976.926623,2570.309632,2349.38777,2426.992169,1644.514097,1446.635326,1284.867082,1179.535361,1243.430101,2043.69569,0.827609772,0.149194699,5.547179484,2.90E-08,7.74E-06
Mmp14,1907.251575,2674.776078,3505.564633,2044.477568,3649.598585,1467.758128,1197.039794,1307.513162,1619.435203,1210.491555,1995.363137,1.018800862,0.18520261,5.501007031,3.78E-08,9.92E-06
Sned1,3548.316068,4536.021458,2698.825114,2967.711645,3737.057762,2128.884044,2270.809958,1973.784683,1810.274105,1766.329515,2704.576654,0.813658788,0.148078857,5.494766805,3.91E-08,1.01E-05
Gpnmb,2153.157738,8075.115122,11602.97804,2514.598078,20411.69653,1380.844972,1807.2754,1255.069608,1480.349224,1853.822527,4505.463018,2.524775252,0.463506168,5.447123312,5.12E-08,1.30E-05
Gp49a,393.7878751,684.6824842,1411.794159,170.0694352,1804.756564,194.3339105,191.526367,96.543816,133.6950501,116.3142396,474.1181646,2.607630775,0.480574065,5.426074699,5.76E-08,1.45E-05
Ly9,125.9107154,130.7292106,256.092894,57.09473898,366.2353048,55.66348189,55.01289266,27.41367615,33.42376252,31.90921617,114.4251585,2.200793003,0.406991446,5.407467466,6.39E-08,1.58E-05
Dpep2,125.0656771,203.1475502,356.4662993,57.09473898,323.4167493,71.28831891,33.61898996,40.52456474,38.81469196,27.79189796,119.6657278,2.328515982,0.431535472,5.395885463,6.82E-08,1.66E-05
Tnfrsf1b,1535.434698,1983.510109,2925.837862,1714.056951,2876.131486,1152.33173,1253.071444,943.9839787,1126.704253,1030.358884,1662.798089,1.002857712,0.185969972,5.39257872,6.95E-08,1.67E-05
Ccl8,475.7565959,394.0686276,362.0947146,196.7946322,1556.044529,91.7959175,123.2696299,95.35191704,109.9749605,126.6075351,358.5751297,2.448275805,0.455847714,5.370819526,7.84E-08,1.84E-05
Lair1,271.2573131,273.6848941,523.4426185,86.2494993,685.0968886,82.03039436,113.0820571,65.55444296,80.86394158,74.11172789,206.0883957,2.146281998,0.399633476,5.370626151,7.85E-08,1.84E-05
Cdh11,1701.907254,2293.874422,2326.411638,1969.161104,2419.703905,1164.050358,1185.833464,1238.383023,1442.612718,923.3086099,1654.825953,0.847297891,0.158075795,5.360073576,8.32E-08,1.87E-05
Dtx4,2241.886765,1750.266625,1439.936235,1514.832755,2354.109522,1212.877974,1035.057388,926.1054942,847.4541078,1038.59352,1511.691595,0.878319936,0.163841821,5.360779868,8.29E-08,1.87E-05
Havcr2,65.06795361,123.2052272,202.6229491,27.93997865,240.5127375,32.22622636,23.43141725,25.02987822,21.56371775,19.55726153,72.68787286,2.437436829,0.454755446,5.359884862,8.33E-08,1.87E-05
Gpr35,184.2183622,209.7310357,248.5883403,57.09473898,366.2353048,56.6400342,59.08792175,63.17064504,46.36199317,61.75977324,133.5377241,1.894983192,0.354334165,5.348011506,8.89E-08,1.98E-05
Aqp5,20.28092061,15.9884646,55.34608332,26.72519697,31.88615838,0.976552314,1.018757272,2.383797926,5.390929439,5.14664777,14.20414203,3.340431858,0.626545967,5.331503244,9.74E-08,2.14E-05
Sae1,2034.007329,1604.489448,1646.311461,1694.620444,1860.329583,1179.675195,1274.465347,1079.86046,1271.181162,1117.851896,1545.292915,0.5777944,0.108702806,5.315358624,1.06E-07,2.31E-05
Clec7a,236.6107404,501.2853902,829.2531806,80.1755909,1542.379033,142.5766378,100.8569699,83.43292741,47.44017906,79.25837566,316.793824,2.81371151,0.529926431,5.309626663,1.10E-07,2.35E-05
Eps8l1,55.77253167,77.12082926,132.2677584,91.10862602,25.5089267,397.4567917,555.222713,195.4714299,225.3408505,231.5991496,222.4348927,-2.074275744,0.390837855,-5.307253935,1.11E-07,2.35E-05
Cd44,2983.830444,3810.897563,6917.322346,2654.297972,4616.2047,1680.646532,1717.62476,1744.940082,2118.635269,1694.276446,2777.110093,1.228346765,0.232594357,5.281068639,1.28E-07,2.68E-05
Rpa1,1963.869145,2041.82098,2105.027304,1678.828282,1883.105411,2455.052517,2793.432439,2694.883555,3082.533453,2448.775009,2255.322608,-0.477593652,0.090777878,-5.261123744,1.43E-07,2.95E-05
Odc1,2290.053952,2421.782138,2596.57557,2202.399186,2187.390465,2976.531453,3404.686801,3014.312477,3044.796947,3175.481674,2661.01123,-0.416589888,0.079851833,-5.21703598,1.82E-07,3.66E-05
AI427809,21.97099732,28.21493753,30.95628389,15.79216184,56.48405199,4.882761569,5.093786358,4.767595852,2.156371775,10.29329554,17.52683333,2.495924537,0.478945684,5.211289342,1.88E-07,3.74E-05
Fcgr4,75.20841392,134.4912022,211.065572,23.08085193,333.4381133,20.50759859,16.30011634,7.151393778,36.65832018,25.73323885,87.5027426,2.868450439,0.551076288,5.205178484,1.94E-07,3.82E-05
Clca2,242.5260089,248.2914503,448.3970818,102.0416611,412.6979927,86.91315593,111.0445426,84.62482637,72.23845448,108.0796032,169.1561904,1.652101753,0.317559424,5.202496385,1.97E-07,3.83E-05
Cd180,132.6710223,142.9556835,275.7923474,66.81299242,265.1106311,44.92140644,39.73153359,13.11088859,36.65832018,63.81843235,107.9069178,2.153120871,0.415127861,5.186645067,2.14E-07,4.12E-05
Mmp2,4951.079743,6060.568582,7842.258585,4808.105891,9947.570382,3422.81586,3208.066648,3169.259343,3901.954728,3488.397858,4855.790993,0.967320163,0.18684806,5.177041522,2.25E-07,4.29E-05
Glipr2,791.800942,839.8646406,943.697624,743.4463884,1159.745132,506.8306509,536.8850821,517.2841499,568.2039628,453.9343333,703.5893161,0.794526157,0.1535906,5.173012899,2.30E-07,4.34E-05
Frzb,872.9246245,1727.694675,7103.998118,1138.250434,3016.430583,376.9491932,469.6471022,423.1241319,765.5119803,293.3589229,1372.767094,2.573413635,0.498068992,5.166781461,2.38E-07,4.44E-05
Myo1f,494.3474398,742.9933551,856.4571876,343.7832155,1398.435803,314.4498451,286.2707933,243.1473884,208.0898763,197.6312744,496.0427243,1.618340818,0.315068869,5.136466896,2.80E-07,5.16E-05
Ms4a7,197.7389759,452.3794985,562.8415253,110.5451329,912.8551628,119.1393823,115.1195717,66.74634193,100.2712876,79.25837566,255.1533673,2.218164399,0.433481678,5.117089162,3.10E-07,5.66E-05
Bcl3,308.4390009,321.6502879,421.1930747,252.6745895,304.2850543,164.0607887,138.5509889,79.85723052,52.8311085,149.2527853,250.5551729,1.458110509,0.285275767,5.111231579,3.20E-07,5.78E-05
Wfdc17,168.1626334,339.5197483,407.1220366,108.1155695,1382.948241,86.91315593,81.50058172,64.362544,81.94212747,65.87709145,248.0162781,2.660271614,0.522829077,5.088224298,3.61E-07,6.46E-05
Oas2,400.548182,575.5847257,313.3151157,481.0535454,463.7158462,244.1380785,210.8827552,222.8851061,240.435453,271.7430023,380.7308015,0.907875095,0.178613158,5.082912725,3.72E-07,6.57E-05
Npr3,1175.448357,1450.247789,1671.63933,1757.789091,1465.852252,3618.126323,3338.467579,2283.678413,2451.794709,3284.590607,2248.14739,-0.994120213,0.198061071,-5.019261015,5.19E-07,8.99E-05
Il7r,174.0779019,350.8057233,609.7449857,72.88690082,770.7339997,67.38210966,103.9132417,51.25165541,57.14385205,85.43435298,212.6709351,2.437474468,0.485901836,5.01639279,5.27E-07,9.03E-05
Slfn10-ps,100.5595647,90.28780011,212.9417104,58.30952066,130.2777328,53.71037726,41.76904813,34.56506993,38.81469196,38.0851935,70.83794339,1.517652401,0.302733893,5.013156562,5.35E-07,9.10E-05
Ccl7,158.0221731,198.4450607,162.2859731,60.73908402,221.3810425,68.35866197,30.56271815,25.02987822,17.2509742,39.11452305,94.33270914,2.148449936,0.43006795,4.995605777,5.87E-07,9.87E-05
Lgals3,1163.61782,2462.223549,4055.27319,717.9359731,5834.25595,652.3369457,746.74908,612.636067,654.4588338,664.9468919,1593.15605,2.095244725,0.419606668,4.993354213,5.93E-07,9.89E-05
C3ar1,496.0375165,1087.215593,1508.415288,352.2866873,1815.688961,389.6443732,242.4642306,221.6932071,287.875632,272.7723318,616.9413076,1.894661728,0.380149869,4.983986277,6.23E-07,0.000102804
Lum,7648.442184,12392.94106,22892.64097,6965.558155,22876.95209,3344.691675,4450.950519,4126.35421,5583.924713,4070.998386,8253.875159,1.754007016,0.353143684,4.966836717,6.81E-07,0.000111262
Lcp1,2077.949324,2664.430601,4098.424373,1038.638337,5331.365681,1174.792434,1091.089038,762.8153363,1003.791061,824.4929727,1947.948391,1.646986616,0.332742371,4.949735172,7.43E-07,0.000120362
Lgmn,6085.12122,4735.407016,7073.041834,3021.162039,8934.501578,2990.203185,3139.809911,2538.744791,2396.807228,2758.603205,4204.526357,1.110578547,0.224738179,4.941655011,7.75E-07,0.000124298
Cxcl16,521.3886673,1035.488208,1423.05099,545.4369745,1684.500196,383.7850593,459.4595295,308.7018314,347.1758558,318.0628322,663.2867921,1.519565848,0.308121689,4.931706853,8.15E-07,0.0001296
Il21r,117.4603318,98.75228137,121.9489971,32.79910537,98.39157443,23.43725553,26.48768906,27.41367615,45.28380728,18.52793197,60.44390551,1.740152911,0.353223221,4.926496354,8.37E-07,0.000131893
Lilrb3,631.2436539,929.2119428,1185.71948,451.8987851,2249.340715,419.917495,305.6271815,231.2283988,345.0194841,330.4147868,685.3713888,1.738671741,0.354144278,4.909501156,9.13E-07,0.000142556
Vcam1,5384.584421,9431.31312,16075.69203,5177.399522,12882.91902,2261.695159,3623.719615,3007.161084,3479.30586,2713.312704,5924.651048,1.69826262,0.346228646,4.905032097,9.34E-07,0.000144538
Atp8b4,175.7679786,259.5774253,350.8378841,93.53818939,406.3207611,91.7959175,111.0445426,61.97874607,54.98748027,92.63965986,169.0088825,1.640388722,0.335327218,4.891904491,9.99E-07,0.000153156
Klf16,489.2772096,475.8919464,441.8305973,572.1621714,462.8048131,362.3009084,335.1711423,362.3372847,338.5503687,358.2066848,441.1139875,0.472857103,0.097032378,4.873188881,1.10E-06,0.000166932
Ptx3,42.25191793,32.91742712,75.0455367,14.57738016,61.95025057,10.74207545,9.168815444,7.151393778,17.2509742,3.087988662,24.94065516,2.263068594,0.464838153,4.868508699,1.12E-06,0.000169448
Laptm5,1301.359072,1797.291521,2895.819647,724.0098815,4027.67732,854.4832746,657.0984401,507.7489582,683.5698528,673.1815283,1358.791216,1.670399929,0.346382782,4.822410396,1.42E-06,0.000211895
Clec4d,29.57634255,76.18033134,93.80692088,3.644345041,299.7298888,6.835866197,8.150058172,8.343292741,9.70367299,10.29329554,55.79956277,3.538851153,0.735967455,4.808434302,1.52E-06,0.000224104
Plcb2,219.7099732,158.9441481,239.2076482,89.89384434,286.0643923,89.84281288,89.6506399,48.86785748,48.51836495,52.49580725,135.3883348,1.592764177,0.332643564,4.78820079,1.68E-06,0.000245071
Serpina3f,136.0511757,9.404979178,139.7723121,8.503471762,54.66198579,4.882761569,8.150058172,9.535191704,2.156371775,7.205306878,36.30843267,3.453799402,0.72178614,4.785073041,1.71E-06,0.000246844
AF251705,112.3901017,187.1590856,252.3406172,42.51735881,502.8902693,56.6400342,59.08792175,23.83797926,36.65832018,48.37848904,119.2506439,2.287263472,0.479242816,4.772660949,1.82E-06,0.000260391
Col13a1,130.9809456,72.41833967,76.92167512,52.23561225,90.19227656,188.4745966,194.5826389,213.3499144,182.213415,148.2234558,120.0465742,-1.124369692,0.235772586,-4.768873739,1.85E-06,0.000263158
Sirpa,3661.551208,3888.018392,5288.834199,2413.771199,6675.139499,2242.164113,2490.861529,1789.040343,1851.245169,2173.944018,3108.382408,1.0559159,0.221863426,4.759305852,1.94E-06,0.000273701
Rftn1,1308.119379,1442.723806,1681.020022,1280.379891,1975.119753,1053.699947,969.8569225,1027.416906,936.9435364,1002.566986,1314.254611,0.623662456,0.131125725,4.756217395,1.97E-06,0.000275678
Lcp2,343.930612,330.1147691,403.3697598,193.1502872,571.2177516,206.0525382,163.0011634,115.6141994,164.9624408,150.2821149,275.6493856,1.203305428,0.253113346,4.754018105,1.99E-06,0.000276466
Cx3cl1,987.8498412,1266.850695,3767.285942,1320.467687,1672.656765,700.188009,567.4478002,682.9581058,740.7137049,474.5209244,1127.520966,1.509863551,0.318457756,4.741173751,2.12E-06,0.000292249
Iqgap3,66.75803033,74.29933551,147.2768658,87.46428098,123.9005011,51.75727263,13.24384453,36.94886785,35.58013429,19.55726153,61.57725318,1.67003029,0.35263616,4.735845268,2.18E-06,0.000295346
Rarres1,186.7534773,240.767467,705.428045,444.610095,361.6801393,126.9518008,151.7948335,156.1387641,167.1188126,112.1969214,228.1318908,1.440982879,0.304258573,4.73604692,2.18E-06,0.000295346
9930013L23Rik,108.1649099,291.5543545,1321.739515,122.6929497,1054.065293,54.68692958,43.80656268,61.97874607,57.14385205,53.52513681,377.0939744,3.418404747,0.725310367,4.713023418,2.44E-06,0.000323465
Cd68,400.548182,888.7705323,1260.765017,247.8154628,2109.952652,284.1767233,276.0832206,175.2091476,231.8099659,251.1564112,547.6531776,2.009995567,0.426399123,4.713882981,2.43E-06,0.000323465
Wdfy4,1373.187333,1166.217418,1420.236782,702.1438112,1755.560777,797.8432404,621.4419356,538.7383313,477.6363483,567.1605842,968.8514027,1.095826157,0.232528485,4.712653401,2.45E-06,0.000323465
Vav1,365.9016093,573.7037299,693.2331453,290.3328216,868.214541,250.9739447,225.145357,207.3904196,285.7192602,206.8952403,391.6711286,1.247489171,0.264854498,4.710092448,2.48E-06,0.000325075
Hck,179.9931704,192.8020731,247.6502711,74.1016825,410.8759266,86.91315593,73.35052355,51.25165541,76.55119803,67.93575056,154.8661125,1.634959006,0.347334811,4.70715561,2.51E-06,0.000327312
Fam167a,61.68780018,83.70431468,306.7486313,66.81299242,131.1887659,51.75727263,37.69401905,14.30278756,21.56371775,17.49860242,65.77450165,2.182274952,0.46472006,4.695891441,2.65E-06,0.000343298
B430306N03Rik,66.75803033,94.9902897,218.5701256,25.51041529,258.7333994,18.55449396,14.2626018,33.37317096,33.42376252,22.64525019,71.48296268,2.447087407,0.522454975,4.683824487,2.82E-06,0.000361454
C4b,21957.47671,17997.36816,21048.39691,12831.73889,34094.50261,12060.42108,10277.22336,7166.888464,8311.735008,12005.07059,15324.63443,1.115250656,0.238333577,4.679368595,2.88E-06,0.000366682
Epb4.1,4195.615451,4315.944945,3666.912537,4528.706104,4715.507308,6481.377707,6369.270462,7089.415032,6819.52574,7850.696508,5444.463397,-0.692088056,0.148009807,-4.675960797,2.93E-06,0.000370104
Serinc2,32.95649599,85.58531052,149.1530042,82.60515426,54.66198579,5.859313883,19.35638816,10.72709067,28.03283308,20.58659108,43.61395853,2.259146438,0.483715873,4.670399637,3.01E-06,0.000374795
Zc3h12d,77.74352899,76.18033134,153.8433502,17.00694352,151.231494,14.64828471,27.50644633,16.68658548,23.72008953,18.52793197,61.51209367,2.237605027,0.479085643,4.670574164,3.00E-06,0.000374795
Evi2b,334.63519,402.5331088,519.6903417,363.2197224,447.3172504,287.1063803,220.0515707,318.2370231,254.4518695,249.0977521,330.6237789,0.639338435,0.13698562,4.66719379,3.05E-06,0.000377969
